Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0944947,2024-06-15,2024-06-15,"complete","Game of Thrones","Game of Thrones",https://www.imdb.com/title/tt0944947/,TV Series,9.2,60,2011,"Action, Adventure, Drama, Fantasy",2374339,2011-04-17,,10,2024-11-19
2,tt11198330,2024-06-15,2024-08-09,"Season 2","House of the Dragon","House of the Dragon",https://www.imdb.com/title/tt11198330/,TV Series,8.3,50,2022,"Action, Adventure, Drama, Fantasy, Romance",456734,2022-08-21,,10,2024-11-19
3,tt7366338,2024-06-15,2024-06-15,"complete","Chernobyl","Chernobyl",https://www.imdb.com/title/tt7366338/,TV Mini Series,9.3,60,2019,"Drama, History, Thriller",912354,2019-05-06,,10,2024-11-19
4,tt6611916,2024-06-15,2024-06-15,"complete","Kingdom","Kingdom",https://www.imdb.com/title/tt6611916/,TV Series,8.3,45,2019,"Action, Drama, Horror, Thriller",57189,2019-01-25,,10,2024-11-19
5,tt0903747,2024-06-15,2024-06-15,"complete","Breaking Bad","Breaking Bad",https://www.imdb.com/title/tt0903747/,TV Series,9.5,45,2008,"Crime, Drama, Thriller",2246585,2008-01-20,,10,2024-11-19
6,tt3006802,2024-06-15,2024-06-15,"Season 7","Outlander","Outlander",https://www.imdb.com/title/tt3006802/,TV Series,8.3,60,2014,"Adventure, Drama, Fantasy, Romance",184978,2014-08-09,,10,2024-11-19
7,tt2306299,2024-06-15,2024-10-30,"Done","Vikings","Vikings",https://www.imdb.com/title/tt2306299/,TV Series,8.5,45,2013,"Action, Adventure, Drama, History, Romance, War",603849,2013-03-03,,9,2024-11-19
8,tt0120737,2024-08-06,2024-08-06,,"The Lord of the Rings: The Fellowship of the Ring","The Lord of the Rings: The Fellowship of the Ring",https://www.imdb.com/title/tt0120737/,Movie,8.9,178,2001,"Adventure, Drama, Fantasy",2065180,2001-12-19,"Peter Jackson",,
9,tt0167261,2024-08-06,2024-08-06,,"The Lord of the Rings: The Two Towers","The Lord of the Rings: The Two Towers",https://www.imdb.com/title/tt0167261/,Movie,8.8,179,2002,"Adventure, Drama, Fantasy",1835479,2002-12-18,"Peter Jackson",,
10,tt0167260,2024-08-06,2024-08-06,,"The Lord of the Rings: The Return of the King","The Lord of the Rings: The Return of the King",https://www.imdb.com/title/tt0167260/,Movie,9.0,201,2003,"Adventure, Drama, Fantasy",2035583,2003-12-17,"Peter Jackson",,
